Date_Time,Date,Time,HOBO_Number,Tank_ID,Treatment,Temperature_C,Host Connect,EOF
3/17/2019 18:00,3/17/2019,18:00,20523493,101,warming,13.68, , 
3/17/2019 19:00,3/17/2019,19:00,20523493,101,warming,13.47, , 
3/17/2019 17:00,3/17/2019,17:00,20523493,101,warming,13.17, , 
3/17/2019 20:00,3/17/2019,20:00,20523493,101,warming,13.08, , 
3/17/2019 21:00,3/17/2019,21:00,20523493,101,warming,12.82, , 
3/17/2019 16:00,3/17/2019,16:00,20523493,101,warming,12.52, , 
3/17/2019 22:00,3/17/2019,22:00,20523493,101,warming,12.52, , 
3/17/2019 23:00,3/17/2019,23:00,20523493,101,warming,12.27, , 
3/17/2019 15:00,3/17/2019,15:00,20523493,101,warming,12.01, , 
3/17/2019 14:00,3/17/2019,14:00,20523493,101,warming,10.42, , 
3/17/2019 13:00,3/17/2019,13:00,20523493,101,warming,9.48, , 
3/17/2019 0:00,3/17/2019,0:00,20523493,101,warming,9.14, , 
3/17/2019 1:00,3/17/2019,1:00,20523493,101,warming,8.62, , 
3/17/2019 2:00,3/17/2019,2:00,20523493,101,warming,8.06, , 
3/17/2019 12:00,3/17/2019,12:00,20523493,101,warming,7.89, , 
3/17/2019 3:00,3/17/2019,3:00,20523493,101,warming,7.5, , 
3/17/2019 4:00,3/17/2019,4:00,20523493,101,warming,7.08, , 
3/17/2019 11:00,3/17/2019,11:00,20523493,101,warming,6.78, , 
3/17/2019 5:00,3/17/2019,5:00,20523493,101,warming,6.56, , 
3/17/2019 6:00,3/17/2019,6:00,20523493,101,warming,6.09, , 
3/17/2019 10:00,3/17/2019,10:00,20523493,101,warming,5.87, , 
3/17/2019 7:00,3/17/2019,7:00,20523493,101,warming,5.57, , 
3/17/2019 9:00,3/17/2019,9:00,20523493,101,warming,5.32, , 
3/17/2019 8:00,3/17/2019,8:00,20523493,101,warming,5.15, , 
3/18/2019 17:00,3/18/2019,17:00,20523493,101,warming,15.31, , 
3/18/2019 16:00,3/18/2019,16:00,20523493,101,warming,15.06, , 
3/18/2019 18:00,3/18/2019,18:00,20523493,101,warming,15.06, , 
3/18/2019 19:00,3/18/2019,19:00,20523493,101,warming,14.63, , 
3/18/2019 15:00,3/18/2019,15:00,20523493,101,warming,14.58, , 
3/18/2019 20:00,3/18/2019,20:00,20523493,101,warming,14.03, , 
3/18/2019 14:00,3/18/2019,14:00,20523493,101,warming,13.73, , 
3/18/2019 21:00,3/18/2019,21:00,20523493,101,warming,13.47, , 
3/18/2019 22:00,3/18/2019,22:00,20523493,101,warming,13, , 
3/18/2019 13:00,3/18/2019,13:00,20523493,101,warming,12.87, , 
3/18/2019 23:00,3/18/2019,23:00,20523493,101,warming,12.48, , 
3/18/2019 12:00,3/18/2019,12:00,20523493,101,warming,12.05, , 
3/18/2019 0:00,3/18/2019,0:00,20523493,101,warming,11.92, , 
3/18/2019 1:00,3/18/2019,1:00,20523493,101,warming,11.58, , 
3/18/2019 2:00,3/18/2019,2:00,20523493,101,warming,11.41, , 
3/18/2019 11:00,3/18/2019,11:00,20523493,101,warming,11.28, , 
