Serial Number:20523497 --

Date Time - GMT -05:00,"Temp, (*C)",Host Connect,Button Down,Button Up,EOF,
2019-02-19 19:00:00,6.05, , , , ,
2019-02-19 20:00:00,5.70, , , , ,
2019-02-19 21:00:00,5.49, , , , ,
2019-02-19 22:00:00,5.19, , , , ,
2019-02-19 23:00:00,4.93, , , , ,
2019-02-20 00:00:00,4.63, , , , ,
2019-02-20 01:00:00,4.33, , , , ,
2019-02-20 02:00:00,4.12, , , , ,
2019-02-20 03:00:00,4.12, , , , ,
2019-02-20 04:00:00,4.07, , , , ,
2019-02-20 05:00:00,4.07, , , , ,
2019-02-20 06:00:00,3.99, , , , ,
2019-02-20 07:00:00,3.90, , , , ,
2019-02-20 08:00:00,3.73, , , , ,
2019-02-20 09:00:00,3.64, , , , ,
2019-02-20 10:00:00,3.64, , , , ,
2019-02-20 11:00:00,3.73, , , , ,
2019-02-20 12:00:00,3.73, , , , ,
2019-02-20 13:00:00,3.77, , , , ,
2019-02-20 14:00:00,3.90, , , , ,
2019-02-20 15:00:00,3.86, , , , ,
2019-02-20 16:00:00,3.86, , , , ,
2019-02-20 17:00:00,3.77, , , , ,
2019-02-20 18:00:00,3.69, , , , ,
2019-02-20 19:00:00,3.47, , , , ,
2019-02-20 20:00:00,3.34, , , , ,
2019-02-20 21:00:00,3.21, , , , ,
2019-02-20 22:00:00,3.17, , , , ,
2019-02-20 23:00:00,3.04, , , , ,
2019-02-21 00:00:00,2.96, , , , ,
2019-02-21 01:00:00,2.91, , , , ,
2019-02-21 02:00:00,2.87, , , , ,
2019-02-21 03:00:00,2.87, , , , ,
2019-02-21 04:00:00,2.83, , , , ,
2019-02-21 05:00:00,2.74, , , , ,
2019-02-21 06:00:00,2.74, , , , ,
2019-02-21 07:00:00,2.66, , , , ,
2019-02-21 08:00:00,2.66, , , , ,
2019-02-21 09:00:00,2.70, , , , ,
2019-02-21 10:00:00,2.87, , , , ,
2019-02-21 11:00:00,3.30, , , , ,
2019-02-21 12:00:00,3.60, , , , ,
2019-02-21 13:00:00,4.16, , , , ,
2019-02-21 14:00:00,4.16, , , , ,
2019-02-21 15:00:00,4.29, , , , ,
2019-02-21 16:00:00,4.33, , , , ,
2019-02-21 17:00:00,4.72, , , , ,
2019-02-21 18:00:00,4.93, , , , ,
2019-02-21 19:00:00,5.06, , , , ,
2019-02-21 20:00:00,4.97, , , , ,
2019-02-21 21:00:00,4.97, , , , ,
2019-02-21 22:00:00,4.97, , , , ,
2019-02-21 23:00:00,5.02, , , , ,
2019-02-22 00:00:00,5.02, , , , ,
2019-02-22 01:00:00,5.02, , , , ,
2019-02-22 02:00:00,5.02, , , , ,
2019-02-22 03:00:00,5.06, , , , ,
2019-02-22 04:00:00,5.02, , , , ,
2019-02-22 05:00:00,5.02, , , , ,
2019-02-22 06:00:00,4.97, , , , ,
2019-02-22 07:00:00,5.02, , , , ,
2019-02-22 08:00:00,4.97, , , , ,
2019-02-22 09:00:00,5.02, , , , ,
2019-02-22 10:00:00,5.06, , , , ,
2019-02-22 11:00:00,5.10, , , , ,
2019-02-22 12:00:00,5.32, , , , ,
2019-02-22 13:00:00,5.49, , , , ,
2019-02-22 14:00:00,5.62, , , , ,
2019-02-22 15:00:00,5.79, , , , ,
2019-02-22 16:00:00,5.79, , , , ,
2019-02-22 17:00:00,5.87, , , , ,
2019-02-22 18:00:00,5.92, , , , ,
2019-02-22 19:00:00,5.87, , , , ,
2019-02-22 20:00:00,5.92, , , , ,
2019-02-22 21:00:00,5.87, , , , ,
2019-02-22 22:00:00,5.87, , , , ,
2019-02-22 23:00:00,5.83, , , , ,
2019-02-23 00:00:00,5.83, , , , ,
2019-02-23 01:00:00,5.79, , , , ,
2019-02-23 02:00:00,5.75, , , , ,
2019-02-23 03:00:00,5.75, , , , ,
2019-02-23 04:00:00,5.70, , , , ,
2019-02-23 05:00:00,5.70, , , , ,
2019-02-23 06:00:00,5.66, , , , ,
2019-02-23 07:00:00,5.53, , , , ,
2019-02-23 08:00:00,5.49, , , , ,
2019-02-23 09:00:00,5.49, , , , ,
2019-02-23 10:00:00,5.45, , , , ,
2019-02-23 11:00:00,5.45, , , , ,
2019-02-23 12:00:00,5.40, , , , ,
2019-02-23 13:00:00,5.45, , , , ,
2019-02-23 14:00:00,5.49, , , , ,
2019-02-23 15:00:00,5.57, , , , ,
2019-02-23 16:00:00,5.53, , , , ,
2019-02-23 17:00:00,5.57, , , , ,
2019-02-23 18:00:00,5.57, , , , ,
2019-02-23 19:00:00,5.53, , , , ,
2019-02-23 20:00:00,5.45, , , , ,
2019-02-23 21:00:00,5.45, , , , ,
2019-02-23 22:00:00,5.40, , , , ,
2019-02-23 23:00:00,5.36, , , , ,
2019-02-24 00:00:00,5.27, , , , ,
2019-02-24 01:00:00,5.10, , , , ,
2019-02-24 02:00:00,5.06, , , , ,
2019-02-24 03:00:00,5.02, , , , ,
2019-02-24 04:00:00,4.89, , , , ,
2019-02-24 05:00:00,4.80, , , , ,
2019-02-24 06:00:00,4.76, , , , ,
2019-02-24 07:00:00,4.72, , , , ,
2019-02-24 08:00:00,4.76, , , , ,
2019-02-24 09:00:00,4.76, , , , ,
2019-02-24 10:00:00,4.84, , , , ,
2019-02-24 11:00:00,5.27, , , , ,
2019-02-24 12:00:00,5.96, , , , ,
2019-02-24 13:00:00,6.13, , , , ,
2019-02-24 14:00:00,6.78, , , , ,
2019-02-24 15:00:00,7.20, , , , ,
2019-02-24 16:00:00,8.11, , , , ,
2019-02-24 17:00:00,8.66, , , , ,
2019-02-24 18:00:00,9.05, , , , ,
2019-02-24 19:00:00,9.05, , , , ,
2019-02-24 20:00:00,8.88, , , , ,
2019-02-24 21:00:00,8.49, , , , ,
2019-02-24 22:00:00,7.98, , , , ,
2019-02-24 23:00:00,7.42, , , , ,
2019-02-25 00:00:00,6.90, , , , ,
2019-02-25 01:00:00,6.35, , , , ,
2019-02-25 02:00:00,5.79, , , , ,
2019-02-25 03:00:00,5.32, , , , ,
2019-02-25 04:00:00,4.84, , , , ,
2019-02-25 05:00:00,4.33, , , , ,
2019-02-25 06:00:00,4.03, , , , ,
2019-02-25 07:00:00,4.12, , , , ,
2019-02-25 08:00:00,4.07, , , , ,
2019-02-25 09:00:00,4.07, , , , ,
2019-02-25 10:00:00,4.24, , , , ,
2019-02-25 11:00:00,4.63, , , , ,
2019-02-25 12:00:00,4.84, , , , ,
2019-02-25 13:00:00,5.23, , , , ,
2019-02-25 14:00:00,5.70, , , , ,
2019-02-25 15:00:00,6.43, , , , ,
2019-02-25 16:00:00,7.20, , , , ,
2019-02-25 17:00:00,7.76, , , , ,
2019-02-25 18:00:00,8.02, , , , ,
2019-02-25 19:00:00,7.93, , , , ,
2019-02-25 20:00:00,7.76, , , , ,
2019-02-25 21:00:00,7.25, , , , ,
2019-02-25 22:00:00,6.86, , , , ,
2019-02-25 23:00:00,6.43, , , , ,
2019-02-26 00:00:00,6.05, , , , ,
2019-02-26 01:00:00,5.62, , , , ,
2019-02-26 02:00:00,5.27, , , , ,
2019-02-26 03:00:00,4.89, , , , ,
2019-02-26 04:00:00,4.50, , , , ,
2019-02-26 05:00:00,4.07, , , , ,
2019-02-26 06:00:00,3.64, , , , ,
