HOBO_Number,Tank_ID,Treatment,Location
20394434,408,,Float
20394437,407,,Float
20394438,411,,Float
20394446,409,,Float
20394456,410,,Float
20394464,412,,Float
20515377,309,,Float
20515378,212,,Float
20515379,204,Warming,Float
20515380,208,,Float
20515381,311,,Float
20515382,205,Control,Float
20515383,302,Warming,Bottom
20523457,112,,Float
20523458,405,Both,Float
20523459,209,,Float
20523460,211,,Float
20523461,206,Both,Bottom
20523462,203,Control,Bottom
20523463,308,,Float
20523464,306,Drying,Float
20523465,401,Warming,Float
20523466,201,Drying,Float
20523467,304,Drying,Float
20523468,406,Control,Float
20523469,403,Drying,Float
20523470,104,Control,Float
20523471,106,Drying,Float
20523472,108,,Float
20523473,310,,Float
20523474,109,,Float
20523475,103,Both,Float
20523476,KP2_Center,,
20523478,301,Control,Float
20523479,102,Drying,Float
20523480,206,Both,Float
20523481,403,Drying,Bottom
20523482,203,Control,Float
20523483,307,,Float
20523484,302,Warming,Float
20523485,303,Both,Float
20523487,105,Warming,Float
20523488,210,,Float
20523489,111,,Float
20523490,104,Control,Bottom
20523491,110,,Float
20523492,404,Warming,Float
20523493,101,Warming,Float
20523494,107,,Float
20523495,305,Both,Bottom
20523496,102,Drying,Bottom
20523497,401,Warming,Bottom
20523498,402,Control,Float
20523499,207,,Float
20523501,312,,Float
20523502,202,Both,Float
20523503,305,Both,Float
20523504,460D_South,,
