"date","loc","Temp_0m_degC","Temp_0p1m_degC","Temp_0p5m_degC","Temp_1m_degC","Temp_1p5m_degC","Temp_1p9m_degC","Temp_2m_degC","Temp_2p5m_degC","Temp_3m_degC","Temp_3p5m_degC","Temp_4m_degC","Temp_4p5m_degC","Temp_5m_degC","Temp_5p5m_degC","Temp_6m_degC","Temp_6p5m_degC","Temp_7m_degC","Temp_7p5m_degC","Temp_8m_degC","Temp_8p3m_degC","Temp_8p5m_degC","Temp_8p7m_degC","Temp_9m_degC","Temp_9p17m_degC","Temp_9p5m_degC","Temp_10m_degC","Temp_10p5m_degC","Temp_11m_degC","Temp_11p5m_degC","Temp_12m_degC","Temp_12p5m_degC","Temp_13m_degC","Temp_13p5m_degC","Temp_14m_degC","Temp_14p5m_degC","Temp_15m_degC","Temp_15p5m_degC","Temp_16m_degC","Temp_16p5m_degC","Temp_17m_degC","Temp_17p5m_degC","Temp_18m_degC","Temp_18p5m_degC","Temp_19m_degC","Temp_19p2m_degC","Temp_19p5m_degC","Temp_20m_degC","Temp_20p5m_degC","Temp_21m_degC","Temp_21p5m_degC","Temp_21p9m_degC","Temp_22m_degC","Temp_22p5m_degC","Temp_23m_degC","Temp_23p5m_degC","Temp_24m_degC","Temp_24p5m_degC","Temp_25m_degC","Temp_25p5m_degC","Temp_26m_degC","Temp_26p5m_degC","Temp_27m_degC","Temp_27p5m_degC","Temp_28m_degC","Temp_28p5m_degC","Temp_29m_degC","Temp_29p5m_degC","Temp_30m_degC","Temp_31m_degC","Temp_32m_degC","Temp_33m_degC","datasource"
1986-07-03,"200",NA,NA,18.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-07-03,"210",18.2,NA,18.2,NA,NA,NA,18.2,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,17.1,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-07-03,"230",NA,NA,18,18,NA,NA,NA,NA,18,NA,NA,NA,18,NA,NA,NA,18,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,16.8,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-08-03,"200",NA,23.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,22,NA,NA,21.5,NA,NA,19,NA,18,NA,NA,16.5,NA,14.5,NA,11.5,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-08-03,"210",NA,24,23,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,21,NA,20,NA,19,NA,NA,NA,NA,16.5,NA,15.5,NA,13.5,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-08-03,"230",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,25.5,NA,NA,NA,NA,NA,24,NA,22.5,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-08-06,"200",NA,23.2,NA,23.2,NA,NA,23,NA,22.9,NA,22.2,NA,21.8,NA,21.1,NA,20,NA,19,NA,NA,NA,18,NA,NA,17,NA,14.7,NA,12.8,NA,11.2,NA,11,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woody"
1986-08-06,"200",NA,23.2,NA,23.2,NA,NA,23,NA,22.9,NA,22.2,NA,21.8,NA,21.1,NA,20,NA,19,NA,NA,NA,18,NA,NA,17,NA,14.7,NA,12.8,NA,11.2,NA,11,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woody"
1986-08-06,"210",NA,22.4,NA,22.3,NA,NA,22.2,NA,22,NA,22,NA,22,NA,21.5,NA,20.7,NA,18.7,NA,NA,NA,17.2,NA,NA,15.9,NA,14.2,NA,12.5,NA,11.5,NA,10.8,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,"woody"
1986-08-06,"230",NA,22.3,NA,22.3,NA,NA,22.2,NA,22.2,NA,22.1,NA,21.7,NA,21,NA,20,NA,19.2,NA,NA,NA,18.4,NA,NA,17.8,NA,16.9,NA,15.8,NA,14.3,NA,12,NA,10.9,NA,10.2,NA,NA,NA,9.6,NA,NA,NA,NA,9.2,NA,NA,NA,NA,9.1,NA,NA,NA,9.1,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woody"
1986-09-02,"200",NA,20.5,20.3,20.1,NA,NA,19.8,NA,19.5,NA,19,NA,18.9,NA,18.8,NA,18.5,NA,18.5,NA,NA,NA,18.5,NA,NA,18.2,NA,18,15.1,14.8,13.4,12.5,12,12,NA,11.4,NA,11.1,NA,11,NA,10.9,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
1986-09-02,"210",NA,20,19,19.5,NA,NA,19.5,NA,19,NA,19,NA,19,NA,19,NA,19,NA,19,NA,NA,NA,18.5,NA,NA,18.5,NA,18,16,15,14,13,NA,12,NA,11.5,NA,11,NA,10.5,NA,10,NA,10,NA,NA,NA,NA,10,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMP do temp 2015"
