City,DATE,PRCP,TAVG
Los Angeles,2017-01-01,0,50
Miami,2017-01-01,0,76
Fairbanks,2017-01-01,0,12
Minneapolis,2017-01-01,0,26
Roanoke,2017-01-01,0.03,46
Los Angeles,2017-01-02,0,53
Miami,2017-01-02,0,80
Fairbanks,2017-01-02,0,1
Minneapolis,2017-01-02,0.02,29
Roanoke,2017-01-02,0.09,47
Los Angeles,2017-01-03,0,53
Miami,2017-01-03,0.69,80
Fairbanks,2017-01-03,0.06,1
Minneapolis,2017-01-03,0,24
Roanoke,2017-01-03,0.51,44
Los Angeles,2017-01-04,0.04,55
Miami,2017-01-04,0.16,76
Fairbanks,2017-01-04,0.08,17
Minneapolis,2017-01-04,0,0
Roanoke,2017-01-04,0,51
Los Angeles,2017-01-05,0.44,56
Miami,2017-01-05,0,74
Fairbanks,2017-01-05,0.16,18
Minneapolis,2017-01-05,0,-1
Roanoke,2017-01-05,0,34
Los Angeles,2017-01-06,0,57
Miami,2017-01-06,0,72
Fairbanks,2017-01-06,0,-9
Minneapolis,2017-01-06,0,-4
Roanoke,2017-01-06,0.02,31
Los Angeles,2017-01-07,0.03,58
Miami,2017-01-07,0.59,78
Fairbanks,2017-01-07,0,-22
Minneapolis,2017-01-07,0,3
Roanoke,2017-01-07,0.3,24
Los Angeles,2017-01-08,0,63
Miami,2017-01-08,0,59
Fairbanks,2017-01-08,0,-20
Minneapolis,2017-01-08,0,3
Roanoke,2017-01-08,0,16
Los Angeles,2017-01-09,0.87,60
Miami,2017-01-09,0,61
Fairbanks,2017-01-09,0,-17
Minneapolis,2017-01-09,0.07,18
Roanoke,2017-01-09,0,16
Los Angeles,2017-01-10,0.09,56
Miami,2017-01-10,0.01,70
Fairbanks,2017-01-10,0,-18
Minneapolis,2017-01-10,0.23,24
Roanoke,2017-01-10,0,26
Los Angeles,2017-01-11,0.18,59
Miami,2017-01-11,0.03,72
Fairbanks,2017-01-11,0.03,-17
Minneapolis,2017-01-11,0.12,7
Roanoke,2017-01-11,0.06,39
Los Angeles,2017-01-12,0.71,56
Miami,2017-01-12,0,75
Fairbanks,2017-01-12,0.06,-3
Minneapolis,2017-01-12,0,7
Roanoke,2017-01-12,0,52
Los Angeles,2017-01-13,0,54
Miami,2017-01-13,0,76
Fairbanks,2017-01-13,0,-1
Minneapolis,2017-01-13,0,-2
Roanoke,2017-01-13,0.01,60
Los Angeles,2017-01-14,0,56
Miami,2017-01-14,0.06,74
Fairbanks,2017-01-14,0.13,8
Minneapolis,2017-01-14,0,11
Roanoke,2017-01-14,0.13,44
Los Angeles,2017-01-15,0,59
Miami,2017-01-15,0,76
Fairbanks,2017-01-15,0,-20
Minneapolis,2017-01-15,0,14
Roanoke,2017-01-15,0.05,47
Los Angeles,2017-01-16,0,57
Miami,2017-01-16,0,77
Fairbanks,2017-01-16,0.28,-17
Minneapolis,2017-01-16,0.12,22
Roanoke,2017-01-16,0.02,42
Los Angeles,2017-01-17,0,55
Miami,2017-01-17,0,76
Fairbanks,2017-01-17,0.02,-19
Minneapolis,2017-01-17,0.11,31
Roanoke,2017-01-17,0.15,44
Los Angeles,2017-01-18,0.06,55
Miami,2017-01-18,0,75
Fairbanks,2017-01-18,0,-44
Minneapolis,2017-01-18,0,33
Roanoke,2017-01-18,0,55
Los Angeles,2017-01-19,0.58,56
Miami,2017-01-19,0,74
Fairbanks,2017-01-19,0,-43
Minneapolis,2017-01-19,0,34
Roanoke,2017-01-19,0,47
Los Angeles,2017-01-20,1.35,55
Miami,2017-01-20,0,74
Fairbanks,2017-01-20,0.01,-24
Minneapolis,2017-01-20,0.09,36
Roanoke,2017-01-20,0.28,48
Los Angeles,2017-01-21,0,54
Miami,2017-01-21,0,74
Fairbanks,2017-01-21,0.03,-10
Minneapolis,2017-01-21,0.01,36
Roanoke,2017-01-21,0.31,48
Los Angeles,2017-01-22,2.94,53
Miami,2017-01-22,0,79
Fairbanks,2017-01-22,0,-24
Minneapolis,2017-01-22,0,37
Roanoke,2017-01-22,0.19,51
Los Angeles,2017-01-23,0.15,54
Miami,2017-01-23,1.2,77
Fairbanks,2017-01-23,0,-32
Minneapolis,2017-01-23,0,35
Roanoke,2017-01-23,1.87,48
Los Angeles,2017-01-24,0,49
Miami,2017-01-24,0,71
Fairbanks,2017-01-24,0,-16
Minneapolis,2017-01-24,0,32
Roanoke,2017-01-24,0,45
Los Angeles,2017-01-25,0,50
Miami,2017-01-25,0,70
Fairbanks,2017-01-25,0,-8
Minneapolis,2017-01-25,0.09,31
Roanoke,2017-01-25,0,51
Los Angeles,2017-01-26,0,51
Miami,2017-01-26,0,74
Fairbanks,2017-01-26,0,6
Minneapolis,2017-01-26,0,29
Roanoke,2017-01-26,0.01,53
Los Angeles,2017-01-27,0,54
Miami,2017-01-27,0,75
Fairbanks,2017-01-27,0,11
Minneapolis,2017-01-27,0,24
Roanoke,2017-01-27,0,38
Los Angeles,2017-01-28,0,54
Miami,2017-01-28,0,68
Fairbanks,2017-01-28,0.1,8
Minneapolis,2017-01-28,0,26
Roanoke,2017-01-28,0,37
Los Angeles,2017-01-29,0,59
Miami,2017-01-29,0.66,60
Fairbanks,2017-01-29,0,10
Minneapolis,2017-01-29,0,26
Roanoke,2017-01-29,0.07,39
Los Angeles,2017-01-30,0,63
Miami,2017-01-30,0,61
Fairbanks,2017-01-30,0,-12
Minneapolis,2017-01-30,0.1,26
Roanoke,2017-01-30,0,33
Los Angeles,2017-01-31,0,60
Miami,2017-01-31,0,64
Fairbanks,2017-01-31,0,3
Minneapolis,2017-01-31,0.02,36
Roanoke,2017-01-31,0,38
Los Angeles,2017-02-01,0,56
Miami,2017-02-01,0,69
Fairbanks,2017-02-01,0,-3
Minneapolis,2017-02-01,0,23
Roanoke,2017-02-01,0,51
Los Angeles,2017-02-02,0,56
Miami,2017-02-02,0,71
Fairbanks,2017-02-02,0,-10
Minneapolis,2017-02-02,0,13
Roanoke,2017-02-02,0,47
Los Angeles,2017-02-03,0.33,57
Miami,2017-02-03,0,73
Fairbanks,2017-02-03,0,-10
Minneapolis,2017-02-03,0,13
Roanoke,2017-02-03,0,37
Los Angeles,2017-02-04,0,58
Miami,2017-02-04,0,73
Fairbanks,2017-02-04,0,-9
Minneapolis,2017-02-04,0,23
Roanoke,2017-02-04,0,29
Los Angeles,2017-02-05,0,56
Miami,2017-02-05,0,73
Fairbanks,2017-02-05,0,-12
Minneapolis,2017-02-05,0,27
Roanoke,2017-02-05,0,39
Los Angeles,2017-02-06,0.97,55
Miami,2017-02-06,0,73
Fairbanks,2017-02-06,0,-12
Minneapolis,2017-02-06,0,24
Roanoke,2017-02-06,0,50
Los Angeles,2017-02-07,0.39,59
Miami,2017-02-07,0,76
Fairbanks,2017-02-07,0,-11
Minneapolis,2017-02-07,0.01,27
Roanoke,2017-02-07,0,59
Los Angeles,2017-02-08,0.03,61
Miami,2017-02-08,0,76
Fairbanks,2017-02-08,0.08,-7
Minneapolis,2017-02-08,0,10
Roanoke,2017-02-08,0.08,61
Los Angeles,2017-02-09,0,59
Miami,2017-02-09,0,75
Fairbanks,2017-02-09,0.02,-1
Minneapolis,2017-02-09,0,10
Roanoke,2017-02-09,0.1,44
Los Angeles,2017-02-10,0.26,59
Miami,2017-02-10,0,72
Fairbanks,2017-02-10,0,-5
Minneapolis,2017-02-10,0,27
Roanoke,2017-02-10,0,29
Los Angeles,2017-02-11,0.03,59
Miami,2017-02-11,0,72
Fairbanks,2017-02-11,0,-19
Minneapolis,2017-02-11,0.02,41
Roanoke,2017-02-11,0,49
Los Angeles,2017-02-12,0,57
Miami,2017-02-12,0,71
Fairbanks,2017-02-12,0,-31
Minneapolis,2017-02-12,0,37
Roanoke,2017-02-12,0,64
Los Angeles,2017-02-13,0,62
Miami,2017-02-13,0,71
Fairbanks,2017-02-13,0,-4
Minneapolis,2017-02-13,0,36
Roanoke,2017-02-13,0,47
Los Angeles,2017-02-14,0,59
Miami,2017-02-14,0,72
Fairbanks,2017-02-14,0,8
Minneapolis,2017-02-14,0,38
Roanoke,2017-02-14,0,42
Los Angeles,2017-02-15,0,58
Miami,2017-02-15,0,73
Fairbanks,2017-02-15,0,17
